0,CombatZoneResize,133,251,508,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0,Platform,15,346,30,0,120,,,
0.4,BoneVRepeat,133,356,40,0,120,41,15,
1.2,Platform,-61,346,30,0,150,,,
1.7,Platform,-61,346,30,0,180,,,
1,BoneVRepeat,133,257,45,0,210,5,15,
2.3,BoneVRepeat,133,257,105,0,300,5,15,
0.2,GasterBlaster,1,45,257,147,105,90,0.1,0.222
0.05,GasterBlaster,1,70,257,172,105,90,0.15,0.222
0.05,GasterBlaster,1,95,257,197,105,90,0.2,0.222
0.05,GasterBlaster,1,120,257,222,105,90,0.25,0.222
0.05,GasterBlaster,1,145,257,247,105,90,0.3,0.222
0.05,GasterBlaster,1,170,257,272,105,90,0.35,0.222
0.05,GasterBlaster,1,195,257,297,105,90,0.4,0.222
0.05,GasterBlaster,1,220,257,322,105,90,0.45,0.222
0.05,GasterBlaster,1,245,257,347,105,90,0.5,0.222
0.05,GasterBlaster,1,270,257,372,105,90,0.55,0.222
0.05,GasterBlaster,1,295,257,397,105,90,0.6,0.222
0.05,GasterBlaster,1,320,257,422,105,90,0.65,0.222
0.05,GasterBlaster,1,345,257,447,105,90,0.7,0.222
5.5,Endattack,,,,,,,,
